"Soru","Cevap"
"algoritma nedir?","algoritma, belirli bir problemi çözmek veya belirli bir görevi yerine getirmek için kullanılan, adım adım ilerleyen bir talimatlar dizisidir."
"algoritma temel özellikleri","Belirginlik: Bir algoritmanın her adımı açık ve belirgin olmalıdır.; Sonluluk: Bir algoritmanın adımları sınırlı olmalııdr.; Etkinlik: Algoritmaların her adımı gerçekleştirilebilir ve etkili olmalıdır."
"algoritmanın önemi nedir?","algoritmalar, yazılım geliştirme sürecinde problemleri çözmek için sistematik bir yaklaşım sağlar. doğru algoritmalar, yazılımın performansını ve verimliliğini artırır."
"belirginlik nedir?","algoritmanın her adımının açık ve net bir şekilde tanımlanmasıdır. her adımın ne yapacağı ve nasıl yapılacağı belirgin olmalıdır."
"bir algoritma örneği verin.","bir sıralama algoritması örneği olarak 'bubble sort' algoritması verilebilir. bu algoritma, bir dizi sayıyı sıralamak için ardışık karşılaştırmalar yapar."
"bubble sort algoritması nedir?","bubble sort, ardışık elemanları karşılaştırarak ve gerektiğinde takas yaparak bir diziyi sıralayan basit bir sıralama algoritmasıdır."
"etkinlik nedir?","algoritmanın belirli bir problemi çözme süresinin mümkün olan en kısa sürede tamamlanmasıdır. algoritmanın gereksiz adımlar içermemesi gerekir."
"iki sayıyı bölme işlemi kullanmadan bölen algoritma nasıldır?","bu algoritma, bölünen sayıdan böleni tekrar tekrar çıkararak kaç kez çıkarıldığını sayar; bu sayı bölüm değeridir."
"iki sayıyı çarpma işlemi kullanmadan çarpan algoritma nasıldır?","bu algoritma, ikinci çarpan kadar birinci çarpanı toplar. örneğin, 4 ile 5'i çarpmak için 4 sayısı 5 kez toplanır."
"sonluluk nedir?","algoritmanın belirli bir sayıda adımda sonlanmasıdır. algoritma sonsuz döngüye girmemelidir."
"ci/cd nedir?","ci/cd, yazılımın sürekli entegre edilmesi (continuous integration) ve sürekli dağıtımını (continuous delivery) ifade eder."
"github actions nedir?","GitHub platformuna entegre edilmiş bir sürekli entegrasyon (CI) ve sürekli dağıtım (CD) hizmetidir. Yazılım geliştirme süreçlerinizi otomatikleştiren özelleştirilebilir iş akışları (workflows) oluşturmanızı sağlar. Bu iş akışları, kodunuzu derleme, test etme, dağıtma gibi görevleri otomatik olarak gerçekleştirebilir. Bir kod gönderimi veya çekme isteği gibi belirli GitHub olayları tetiklendiğinde çalışacak şekilde yapılandırılır."
"jenkins ne işe yarar?","jenkins, yazılım geliştirme süreçlerini otomatikleştirmek için kullanılan açık kaynaklı bir ci/cd aracıdır."
"markdown nedir?","markdown, düz metin içinde biçimlendirme yapmaya olanak tanıyan hafif bir işaretleme dilidir."
"readme dosyası ne işe yarar?","readme, projeyi tanıtan ve nasıl kullanılacağını anlatan dökümantasyon dosyasıdır."
"sanal ortam (virtual environment) nedir?","sanal ortam, projeye özel bağımlılıkları izole bir şekilde tutan python ortamıdır."
"terminal nedir?","terminal, komut satırı aracılığıyla işletim sistemiyle etkileşim kurmayı sağlayan bir araçtır."
"venv nasıl oluşturulur?","`python -m venv env_adi` komutu ile bir sanal ortam oluşturulur."
"visual studio code nedir?","vs code, microsoft tarafından geliştirilen hafif ve özelleştirilebilir bir kaynak kod editörüdür."
"vs code uzantıları ne işe yarar?","vs code uzantıları, editöre ekstra özellikler kazandırarak yazılım geliştirmeyi kolaylaştırır."
"black nedir?","black, python kodlarını otomatik olarak biçimlendiren bir araçtır."
"linting nedir?","linting, kodunuzu analiz ederek yazım hatalarını ve stil sorunlarını tespit eden bir işlemdir."
"prettier nedir?","prettier, kodun otomatik olarak biçimlendirilmesini sağlayan bir kod formatlama aracıdır."
"pip install komutu ne işe yarar?","pip install komutu, belirtilen paketi python ortamınıza yükler."
"python'da pip ne işe yarar?","pip, python paketlerini yüklemek ve yönetmek için kullanılan bir paket yöneticisidir."
"requirements.txt dosyası ne için kullanılır?","python projelerinde ihtiyaç duyulan paketlerin listelendiği dosyadır ve `pip install -r` ile yüklenir."
"gereksinim analizi aşamasının amacı nedir?","yazılımın ne yapması gerektiğini belirlemek, kullanıcı ve sistem gereksinimlerini dokümante etmektir."
"planlama aşamasında ne yapılır?","projenin neden yapılacağı belirlenir, hedef kitle analiz edilir, risk analizi yapılır ve proje planı hazırlanır."
"sdlc nedir?","SDLC (Software Development Life Cycle), bir yazılımın planlanmasından bakımına kadar geçen süreci tanımlayan sistematik bir yaklaşımdır. Bir yazılım projesinin fikir aşamasından başlayıp, geliştirme, test etme, dağıtım ve son olarak bakım aşamalarına kadar uzanan tüm süreçleri kapsayan bir yol haritasıdır."
"sdlc'nin amaçları nelerdir?","sdlc'nin temel amaçları, yazılım projelerine standart bir süreç sunmak, hataları azaltmak, kullanıcı gereksinimlerini karşılamak ve projeyi zamanında tamamlamaktır."
"tasarım aşamasında neler yapılır?","sistem mimarisi belirlenir, ui/ux tasarımı yapılır, veri tabanı yapısı ve yazılım bileşenleri planlanır."
"çevik modelin avantajları nelerdir?","agile modelde kullanıcı geri bildirimi alınır, değişikliklere hızlı adapte olunur ve erken çalışan yazılım teslimi mümkündür."
"şelale modeli nedir?","Her aşamanın bir öncekinin tamamlanmasını beklediği, doğrusal ve sıralı bir modeldir. Geri dönüşler zordur ve gereksinimlerin baştan çok net olduğu projeler için uygundur."
"branch nedir?","branch, projede bağımsız olarak geliştirme yapmayı sağlayan git yapısıdır."
"git commit nedir?","commit, git deposunda yapılan değişiklikleri kalıcı hale getirir ve geçmişteki değişikliklerin kaydını tutar."
"git nedir?","Git, yazılım geliştirme projelerinde kod değişikliklerini takip etmek ve yönetmek için kullanılan popüler bir dağıtık versiyon kontrol sistemidir (DVCS). Birden fazla geliştiricinin aynı proje üzerinde eş zamanlı çalışmasını sağlar. Dallanma ve birleştirme özellikleri sayesinde yeni özellikler geliştirilirken veya hatalar düzeltilirken ana kod tabanının stabil kalmasına yardımcı olur."
"git pull komutu ne yapar?","`git pull`, uzak depodaki değişiklikleri yerel depoya indirip birleştirir."
"git push komutu ne yapar?","`git push`, yerel değişiklikleri uzak git deposuna gönderir."
"git branching (dallanma) ne işe yarar?","git branching, geliştiricilerin projede bağımsız özellikler veya düzeltmeler üzerinde paralel olarak çalışabilmesini sağlar."
"git ve github arasındaki fark nedir?","git bir versiyon kontrol sistemidir, github ise git depolarının çevrim içi olarak barındırılmasını ve paylaşılmasını sağlayan bir platformdur."
"github ile git arasındaki fark nedir?","git, versiyon kontrol sistemidir; github ise git ile yönetilen projeleri barındırmak için kullanılan çevrim içi bir platformdur."
"github nedir?","GitHub, Git versiyon kontrol sistemi üzerine kurulmuş, web tabanlı bir kod barındırma ve işbirliği platformudur. Geliştiricilerin projelerini depolamalarına, kod değişikliklerini takip etmelerine ve dünya genelindeki diğer geliştiricilerle birlikte çalışmalarına olanak tanır. Açık kaynak projelerin merkezi konumundadır ve proje yönetimi, kod incelemesi gibi birçok özelliği sunar. Bu sayede, yazılım geliştirme süreçlerini optimize ederek ekiplerin daha verimli çalışmasını sağlar."
"github üzerinde pull request (pr) nedir?","pull request, bir projede yapılan değişiklikleri incelemek ve ana dala dahil edilmesini istemek için kullanılan git hub özelliğidir."
"merge işlemi ne yapar?","merge, bir branch'teki değişiklikleri başka bir branch'e entegre eder."
"versiyon kontrol sistemine neden ihtiyaç duyarız?","kod değişikliklerini takip etmek, ekip içi iş birliğini sağlamak, veri kaybını önlemek ve eski sürümlere dönmek gibi ihtiyaçlar nedeniyle versiyon kontrol sistemlerine ihtiyaç duyulur."
"git’in tarihçesi nedir?","git, 2005 yılında linus torvalds tarafından, linux çekirdeğini yönetmek için geliştirilmiştir. daha önce kullanılan bitkeeper yazılımının eksiklerini gidermek amacıyla oluşturulmuştur."
"git’in temel özellikleri nelerdir?","git hızlıdır, dağıtık bir yapıya sahiptir, dallanma (branching) sistemini destekler ve açık kaynaklıdır."
"merkezi ve dağıtık versiyon kontrol sistemleri arasındaki fark nedir?","merkezi sistemlerde tüm değişiklikler tek bir sunucuda tutulur, dağıtık sistemlerde ise her geliştirici proje geçmişinin bir kopyasını kendi bilgisayarında tutar."
"python'da test nasıl yazılır?","`assert` ifadeleri veya `unittest`, `pytest` gibi kütüphanelerle test yazılabilir."
"pytest nedir?","pytest, python programlama dili için geliştirilmiş bir test framework'üdür."
"unittest nedir?","unittest, python'da birim testi yazmak için kullanılan yerleşik bir kütüphanedir."
"test driven development (tdd) nedir?","tdd, önce test yazıp sonra kodun bu testi geçecek şekilde geliştirilmesidir."
"continuous integration nedir?","continuous integration, geliştiricilerin kodlarını sık sık birleştirdiği ve her seferinde otomatik testlerin çalıştığı süreçtir."
"continuous deployment nedir?","continuous deployment, başarılı testlerden sonra yazılımın otomatik olarak üretim ortamına aktarılmasıdır."
"debugging nedir?","debugging, yazılımdaki hataları bulma ve düzeltme sürecidir."
"python’da logging ne işe yarar?","logging, uygulama sırasında gerçekleşen olayların kaydını tutmak için kullanılır."
"docstring nedir?","docstring, python fonksiyonları ve sınıflarında açıklayıcı metinler yazmak için kullanılan yorumlama biçimidir."
"code refactoring nedir?","refactoring, kodun işlevini değiştirmeden daha okunabilir ve verimli hale getirilmesidir."
"yazılımda modülerlik ne anlama gelir?","modülerlik, yazılımın küçük, bağımsız ve yeniden kullanılabilir bileşenlerden oluşmasıdır."
"dependency injection nedir?","dependency injection, bir bileşenin ihtiyaç duyduğu bağımlılıkların dışarıdan sağlanmasıdır."
"solid prensipleri nedir?","solid, yazılım geliştirmede beş temel prensibi ifade eder: single responsibility, open-closed, liskov substitution, interface segregation, dependency inversion."
"oop nedir?","oop, nesne yönelimli programlama yaklaşımıdır; veriyi ve işlevselliği sınıflar ve nesnelerle yapılandırır."
"inheritance (kalıtım) nedir?","kalıtım, bir sınıfın başka bir sınıfın özelliklerini ve metodlarını devralmasını sağlar."
"encapsulation nedir?","encapsulation, nesnenin verilerini dış müdahalelere karşı korumak için veri ve metodların sınıf içinde gizlenmesidir."
"polymorphism nedir?","polymorphism, farklı nesnelerin aynı arayüzü kullanarak farklı davranışlar sergileyebilmesidir."
"abstraction nedir?","abstraction, karmaşık yapıları gizleyerek sadece gerekli detayları göstermektir."
"api nedir?","api, farklı yazılım bileşenlerinin birbirleriyle iletişim kurmasını sağlayan arayüzdür."
"rest api nedir?","rest api, http protokolü üzerinden çalışan, kaynaklara erişimi sağlayan web servis mimarisidir."
"json nedir?","json, verilerin anahtar-değer biçiminde saklandığı, insan tarafından okunabilir veri formatıdır."
"yaml nedir?","yaml, yapılandırma dosyaları yazmak için kullanılan okunabilirliği yüksek bir veri formatıdır."
"swagger nedir?","swagger, api'lerin belgelenmesi, test edilmesi ve görselleştirilmesi için kullanılan bir araçtır."
"docker nedir?","Docker, uygulamaları ve bağımlılıklarını 'konteyner' adı verilen taşınabilir, izole edilmiş birimler halinde paketlemek için kullanılan bir platformdur. Bu konteynerler, uygulamanın farklı ortamlarda (geliştirme, test, üretim) tutarlı bir şekilde çalışmasını garanti eder. Böylece 'benim makinemde çalışıyordu' sorununu ortadan kaldırır. Geliştiriciler ve operasyon ekipleri arasında işbirliğini kolaylaştırarak dağıtım süreçlerini hızlandırır."
"dockerfile nedir?","Dockerfile, bir Docker imajının (kalıbının) nasıl oluşturulacağını tanımlayan talimatlar içeren bir metin dosyasıdır. Bu dosya, uygulamanın çalışması için gerekli tüm adımları (örneğin, temel işletim sistemi seçimi, kod kopyalama, bağımlılıkları yükleme, portları açma) sıralı bir şekilde içerir. Her bir talimat, imajın üstünde bir katman oluşturur. Kısacası, Dockerfile'lar imaj oluşturma sürecini otomatikleştirerek tutarlılık ve tekrarlanabilirlik sağlar."
"container nedir?","Bir konteyner, uygulamanın kodunu, çalışma zamanı ortamını, kütüphaneleri, sistem araçlarını ve ayarları içeren hafif, taşınabilir ve izole edilmiş bir pakettir. Sanal makinelerin aksine, konteynerler işletim sistemini paylaşır ancak kendi bağımsız ortamlarına sahiptir. Bu izolasyon, uygulamanın her yerde aynı şekilde çalışmasını sağlar ve 'benim makinemde çalışıyordu' sorununu ortadan kaldırır. Hızlı başlangıç süreleri ve kaynak verimliliği sayesinde uygulama dağıtımını kolaylaştırır."
"image nedir?","bir uygulamanın çalışması için gerekli tüm kodları, kütüphaneleri, bağımlılıkları ve ayarları içeren, salt okunur (read-only) ve statik bir şablondur. Konteynerlerin oluşturulduğu bir nevi 'mavi kopya' veya 'anlık görüntü' gibi düşünebilirsiniz. Bir imajdan birçok aynı konteyner örneği çalıştırılabilir. Bu kalıplar, Docker Hub gibi depolarda saklanarak kolayca paylaşılabilir ve dağıtılabilir."
"port forwarding nedir?","port forwarding, dış dünyadan gelen taleplerin belirli bir porta yönlendirilmesidir."
"environment variable nedir?","environment variable, uygulamanın çalıştığı ortamla ilgili yapılandırma bilgilerini saklayan değişkenlerdir."
".env dosyası ne işe yarar?",".env, ortam değişkenlerini düz metin olarak saklamaya yarayan dosyadır."
"gitignore dosyası ne işe yarar?",".gitignore, git’in takip etmeyeceği dosya ve klasörleri tanımlar."
"ci pipeline nedir?","ci pipeline, kodun entegrasyon sürecinde geçtiği test, derleme ve dağıtım adımlarını tanımlar."
"mocking nedir?","mocking, testlerde dış sistemleri taklit ederek bağımlılıkları izole etmek için kullanılır."
"Psudeo Code (Sözde Kod) nedir?","Bir algoritmanın yarı programlama dili kuralı yarı konuşma diline yakın şekilde tanımlanmasıdır."
"Akış diyagramı (Şeması) nedir?","Bir algoritmanın şekilsel olarak ortaya konulmasıdır."
"Path (yol) nedir?","işletim sisteminin dosya ve programları bulmak için kullandığı bir ortam değişkenidir. Temel olarak, bir programı çalıştırmak istediğinizde ve o programın tam konumunu belirtmediğinizde, Windows PATH değişkeninde tanımlı dizinlere bakar."
"Mutlak Path (Mutlak Yol) nedir?","Mutlak path, bir dosya veya dizinin konumunu, dosya sisteminin en üst seviyesi olan kök dizinden başlayarak tam ve eksiksiz bir şekilde belirtir. Nerede olursanız olun, bu yolu kullandığınızda her zaman aynı konuma ulaşırsınız. Sanki bir evin tam adresini (ülke, şehir, cadde, numara) vermek gibidir."
"Göreceli Path (Göreceli Yol) nedir?","Göreceli path, bir dosya veya dizinin konumunu, mevcut çalışma dizinine (current working directory) göre belirtir. Yani, bulunduğunuz konuma göre bir tarif vermek gibidir."
"HTTP (Hypertext Transfer Protocol) nedir?","web'de veri iletişimini sağlayan temel protokoldür. Kısaca, web tarayıcınız ile web sunucusu arasındaki konuşma dilidir."
"HTTPS (Hypertext Transfer Protocol Secure) nedir?","bildiğimiz HTTP'nin güvenli versiyonudur. Temel farkı, istemci (tarayıcınız) ile sunucu (web sitesinin barındığı yer) arasındaki tüm iletişimi şifrelemesidir. Bu şifreleme, genellikle TLS (Transport Layer Security) veya daha eski adıyla SSL (Secure Sockets Layer) protokolleri kullanılarak yapılır."
"Lokal Ortam (Local Environment) nedir?","Lokal ortam, bir yazılımcının uygulamayı kendi bilgisayarında geliştirdiği, test ettiği ve hata ayıkladığı kişisel çalışma alanıdır. Bu ortam, internet bağlantısı gerektirmeden veya canlı sistemlere zarar verme riski olmadan kod üzerinde çalışmak için tasarlanmıştır."
"Prod Ortam (Production Environment) nedir?","Prod ortam (üretim ortamı), yazılım uygulamasının gerçek kullanıcılar tarafından erişilebilir olduğu, canlı ve çalışan sistemdir. Burası, uygulamanın amacına hizmet ettiği ve gerçek dünyada kullanıldığı yerdir. 'Canlıya almak' veya 'deploy etmek' ifadeleri, yazılımı lokal ortamdan prod ortama taşımak anlamına gelir."
"SDLC Aşamaları","1- Gereksinim Analizi (Requirement Analysis); 2- Sistem Tasarımı (System Design); 3- Kodlama / Geliştirme (Implementation or Coding); 4- Test Etme (Testing); 5- Dağıtım (Deployment); 6- Bakım (Maintenance)"
"SDLC Gereksinim Analizi (Requirement Analysis)","Yazılımın ne yapması gerektiğinin, yani kullanıcı ve iş ihtiyaçlarının belirlendiği aşamadır. Müşterilerle ve paydaşlarla görüşmeler yapılır, dokümanlar incelenir ve yazılımın kapsamı netleştirilir. Bu aşamanın çıktısı genellikle bir Yazılım Gereksinim Spesifikasyonu (SRS) belgesidir."
"SDLC Sistem Tasarımı (System Design)","Toplanan gereksinimlere göre yazılımın mimarisinin ve genel yapısının oluşturulduğu aşamadır. Veri tabanı tasarımı, sistem bileşenleri, kullanıcı arayüzü (UI) ve sistem entegrasyonları gibi konular burada planlanır. Genellikle Yüksek Seviyeli Tasarım (HLD) ve Düşük Seviyeli Tasarım (LLD) olarak ikiye ayrılabilir."
"SDLC Kodlama / Geliştirme (Implementation or Coding)","Tasarım aşamasında belirlenen planlara göre yazılımın gerçek kodunun yazıldığı aşamadır. Programcılar, seçilen programlama dilleri ve geliştirme araçlarını kullanarak modülleri ve fonksiyonları oluştururlar."
"SDLC Test Etme (Testing)","Geliştirilen yazılımın hatalardan arındırıldığından ve gereksinimleri karşıladığından emin olmak için çeşitli testlerin yapıldığı aşamadır. Birim testleri, entegrasyon testleri, sistem testleri ve kullanıcı kabul testleri (UAT) gibi farklı test türleri uygulanır. Tespit edilen hatalar geliştiricilere bildirilerek düzeltilmesi sağlanır."
"SDLC Dağıtım (Deployment)","Testleri başarıyla tamamlanan yazılımın, son kullanıcıların erişebileceği canlı ortama (prod ortam) yüklenmesi ve kurulması aşamasıdır. Bu, genellikle bir sunucuya kurulum, veritabanı ayarlarının yapılması ve kullanıcı eğitimlerini içerebilir."
"SDLC Bakım (Maintenance)","Yazılım canlıya alındıktan sonra başlayan ve sürekli devam eden aşamadır. Bu aşamada, tespit edilen hatalar düzeltilir, performans iyileştirmeleri yapılır, değişen gereksinimlere göre güncellemeler eklenir ve sistemin sürekli çalışır durumda kalması sağlanır."
"SDLC Modelleri","Şelale Modeli (Waterfall Model); Çevik (Agile) Modeli; Spiral Modeli; V Modeli (V-Model)"
"Spiral Modeli","Risk analizine odaklanan, şelale ve yinelemeli modellerin özelliklerini birleştiren daha esnek bir modeldir."
"V Modeli (V-Model)","Şelale modeline benzer ancak her geliştirme aşamasının karşılıklı bir test aşamasıyla eşleştiği bir modeldir."
"Artımlı Model (Incremental Model)","Yazılım küçük parçalar (artışlar) halinde geliştirilir. Her artış, yazılımın daha gelişmiş bir versiyonunu sunar."
"Kanban nedir?","yazılım geliştirme ve diğer iş süreçlerinde iş akışını görselleştirmek, yönetmek ve sürekli iyileştirmek için kullanılan esnek bir çevik (Agile) metodolojidir. Kökeni, Toyota'nın 'Just-in-Time' (Tam Zamanında) üretim sistemine dayanır."
"Versiyon Kontrol Sistemleri (VCS - Version Control Systems)","Yerel Versiyon Kontrol Sistemleri (Local Version Control Systems - LVCS); Merkezi Versiyon Kontrol Sistemleri (Centralized Version Control Systems - CVCS); Dağıtık Versiyon Kontrol Sistemleri (Distributed Version Control Systems - DVCS)"
"Yerel Versiyon Kontrol Sistemleri (Local Version Control Systems - LVCS)","Bu sistemler, versiyon kontrolünü tek bir bilgisayar üzerinde, yerel olarak yönetir. Genellikle basit ve kişisel projeler için kullanılırlar."
"Merkezi Versiyon Kontrol Sistemleri (Centralized Version Control Systems - CVCS)","Bu sistemler, tüm proje dosyalarını ve versiyon geçmişini tek bir merkezi sunucuda depolar. Geliştiriciler, sunucuya bağlanarak dosyaları 'çıkartır' (checkout), değişiklik yapar ve sunucuya geri 'gönderir' (commit)."
"Dağıtık Versiyon Kontrol Sistemleri (Distributed Version Control Systems - DVCS)","Bu sistemler, projenin tam versiyon geçmişini her bir geliştiricinin yerel bilgisayarında saklar. Merkezi bir sunucuya ihtiyaç duymazlar, ancak genellikle bir uzak depo (remote repository) ile senkronize olurlar."
"Kontrol Versiyon Sistemi (Version Control System) Nedir?","Kontrol versiyon sistemi, yazılım projelerinde yapılan tüm değişikliklerin kaydını tutan bir yazılım veya araçtır. Özellikle ekiplerin birlikte çalıştığı projelerde, her geliştiricinin yaptığı değişikliklerin düzgün bir şekilde yönetilmesini ve gerektiğinde eski sürümlere geri dönülmesini sağlar."
"Kullanılan Popüler Kontrol Versiyon Sistemleri","Git: En popüler dağıtık sistem. Açık kaynak.; SVN: Merkezi yapı ile çalışan eski bir sistem.; Mercurial: Git’e benzer, ancak daha az popüler.; Perforce: Daha çok büyük kurumsal projelerde kullanılır."
"Git Temel Komutları","git init: Yeni bir Git deposu başlatır.; git clone [url]: Uzak bir depoyu yerel makineye kopyalar.; git add [dosya_adı]: Değişiklikleri bir sonraki kayda (commit) eklemek için hazırlar.; git commit -m '[mesaj]': Hazırlanmış değişiklikleri yerel depoya kaydeder.; git status: Çalışma dizininin ve hazırlık alanının (staging area) durumunu gösterir.; git push: Yerel depodaki değişiklikleri uzak depoya gönderir.; git pull: Uzak depodaki değişiklikleri yerel depoya çeker.; git branch: Dalları (branches) listeler, oluşturur veya siler.; git checkout [dal_adı]: Başka bir dala geçiş yapar veya belirli bir commite döner.; git merge [dal_adı]: Belirtilen dalı mevcut dalla birleştirir."
"Git'te branch (dal)","ana kod tabanından ayrılan bağımsız bir geliştirme hattıdır. Yeni özellikler geliştirmek, hataları düzeltmek veya deneysel çalışmalar yapmak için kullanılır. Ana 'main' veya 'master' dalını etkilemeden paralel olarak farklı özellikler üzerinde çalışmaya olanak tanır. İş tamamlandığında, bu dallar ana dala geri birleştirilebilir (merge). Bu yapı, ekiplerin daha güvenli ve esnek bir şekilde işbirliği yapmasını sağlar."
"Sanallaştırma","Sanallaştırma, fiziksel bir donanımın (sunucu, depolama, ağ gibi) kaynaklarını soyutlayarak, birden fazla sanal ortam veya sanal makine (VM) oluşturma teknolojisidir. Bu sayede, tek bir fiziksel sunucu üzerinde aynı anda birden fazla işletim sistemi ve uygulama çalıştırılabilir. Sanallaştırma, donanım kullanımını optimize ederken, kaynak verimliliği, maliyet düşüşü ve esneklik gibi önemli avantajlar sunar."
"docker hub nedir?","Docker Hub, Docker Inc. tarafından sağlanan, bulut tabanlı bir Docker imaj deposudur (registry). Geliştiricilerin kendi Docker imajlarını depolayabilecekleri, yönetebilecekleri ve genel veya özel olarak paylaşabilecekleri merkezi bir platform sunar. Hem resmi (verified) imajları hem de topluluk tarafından oluşturulmuş imajları barındırır. Bu platform, Docker konteynerlerini dağıtmak ve işbirliği yapmak için hayati bir rol oynar."
"docker registry nedir?","Docker Registry, Docker imajlarının depolandığı ve dağıtıldığı sunucu tabanlı bir uygulamadır. Temel amacı, Docker imajlarını düzenlemek, saklamak ve ekipler arasında kolayca erişilebilir kılmaktır. Docker Hub en bilinen genel (public) Docker Registry örneğidir; ancak şirketler dahili kullanımları için özel (private) registry'ler de kurabilirler. Bu sayede, geliştirilen konteyner imajları güvenli ve merkezi bir yerden yönetilir, böylece farklı ortamlara dağıtımı kolaylaşır."
"Docker Volume (Docker Hacmi) Nedir?","Docker Volume (Docker Hacmi), Docker konteynerleri için kalıcı veri depolama yöntemidir. Konteynerin kendi dosya sisteminden ayrı olarak, verilerin ana bilgisayar üzerinde depolanmasını sağlar. Bu sayede, bir konteyner silinse, yeniden oluşturulsa veya güncellense bile içerisindeki veriler korunur. Konteyner yaşam döngüsünden bağımsız veri yönetimi sunarak, veri kaybını önler ve uygulamaların durum bilgisi olan (stateful) servisler çalıştırmasına olanak tanır."
"Docker Networking Nedir?","Docker Networking, Docker'ın konteynerler arasında ve konteynerler ile dış dünya arasında iletişimi yönetmesini sağlayan mekanizmadır. Docker, kendi iç sanal ağlarını oluşturur ve konteynerleri bu ağlara bağlar. Bu sayede, farklı konteynerler birbirleriyle ve ana bilgisayar (host) ile iletişim kurabilir. Çeşitli ağ sürücüleri (örneğin, bridge, host, overlay) sayesinde karmaşık uygulama mimarileri için esnek ve izole iletişim ortamları sağlanır."
"Docker Compose Nedir?","Docker Compose, çoklu konteynerli Docker uygulamalarını tanımlamak ve çalıştırmak için kullanılan bir araçtır. Bir YAML dosyası (genellikle docker-compose.yml) kullanarak uygulamanızın tüm servislerini, ağlarını ve birimlerini yapılandırmanıza olanak tanır. Tek bir komutla (docker-compose up), bu tanımlı servislerin tamamını başlatabilir veya durdurabilirsiniz. Bu sayede, karmaşık uygulamaların yerel geliştirme ve dağıtım süreçleri büyük ölçüde basitleşir ve hızlanır."
"Orchestration (Orkestrasyon) Nedir?","Orkestrasyon, bilişimde birden fazla otomatize görevi, sistemi veya uygulamayı belirli bir amaca ulaşmak için koordine etme ve yönetme sürecidir. Tek tek görevlerin otomatikleştirilmesinin ötesine geçerek, karmaşık iş akışlarını uçtan uca senkronize eder. Bu, kaynak tahsisi, uygulama dağıtımı, ölçeklendirme ve hata yönetimi gibi süreçleri kapsar. Amacı, karmaşık BT ortamlarında verimliliği artırmak, insan hatalarını azaltmak ve süreçleri tutarlı hale getirmektir."
"Docker Daemon Nedir?","Docker Daemon (dockerd), Docker'ın arka planda çalışan ve tüm Docker operasyonlarını yöneten ana hizmetidir. Docker istemcisinden (CLI) gelen komutları dinler ve Docker imajlarını, konteynerleri, ağları ve birimleri oluşturma, çalıştırma ve yönetme gibi görevleri yerine getirir. Ana bilgisayar işletim sistemi üzerinde çalışan bir sunucu (daemon) görevi görür. Kısacası, tüm Docker altyapısının beyin merkezidir."
"Docker CLI Nedir?","Docker CLI (Command Line Interface), kullanıcıların Docker ile etkileşim kurmak için kullandığı bir komut satırı aracıdır. Kullanıcılar, docker run, docker build, docker ps gibi komutları bu arayüz üzerinden girerler. CLI, girilen bu komutları alıp arka planda çalışan Docker Daemon'a gönderir. Böylece, kullanıcılar konteynerleri, imajları ve diğer Docker bileşenlerini kolayca yönetebilirler."
"Docker Engine Nedir?","Docker Engine, Docker'ın temel teknolojisi olup, Docker'ın çekirdek bileşenlerini içeren bir istemci-sunucu uygulamasıdır. Başlıca üç bileşeni vardır: Komutları alan Docker CLI (istemci), bu komutları yürüten ve konteynerleri yöneten Docker Daemon (sunucu) ve istemcinin sunucuyla iletişim kurmasını sağlayan REST API. Kısacası, Docker Engine, imaj oluşturma, konteyner çalıştırma, ağ yönetimi gibi tüm Docker işlemlerini mümkün kılan motor yapısıdır."